"id_produto","Categoria","Nome do Produto","Descrição do Produto"
"1","Materiais Básicos","Cimento CPII-F 50kg","Cimento Portland de alta resistência, ideal para rebocos, contrapisos e concreto estrutural."
"2","Materiais Básicos","Areia Média Lavada (Saco 20kg)","Areia de granulometria média, utilizada para fabricação de concreto e argamassas em geral."
"3","Materiais Básicos","Brita 1 (Saco 20kg)","Pedra britada tipo 1, principal agregado para produção de concreto para lajes, vigas e pilares."
"4","Materiais Básicos","Tijolo Baiano 9 Furos (Unidade)","Tijolo cerâmico com furos, utilizado em alvenaria de vedação. Dimensões: 19x19x9 cm."
"5","Materiais Básicos","Bloco de Concreto Estrutural 14x19x39cm","Bloco de cimento para alvenaria estrutural, garantindo segurança e rapidez na obra."
"6","Materiais Básicos","Vergalhão de Aço CA-50 10mm (Barra 12m)","Barra de aço nervurada para armaduras de concreto armado em lajes, vigas e fundações."
"7","Materiais Básicos","Argamassa Colante AC-I 20kg","Argamassa para assentamento de cerâmicas em áreas internas e secas."
"8","Materiais Básicos","Argamassa para Reboco 20kg","Massa pronta para reboco interno e externo, otimizando o tempo de aplicação."
"9","Materiais Básicos","Cal Hidratada CH-III 20kg","Aditivo para argamassas que proporciona maior plasticidade, liga e aeração."
"10","Materiais Básicos","Gesso em Pó Secagem Rápida 40kg","Gesso em pó para pequenos reparos, revestimentos e acabamentos internos."
"11","Materiais Básicos","Impermeabilizante Vedacit 18L","Emulsão asfáltica para impermeabilização de lajes, baldrames e áreas frias."
"12","Materiais Básicos","Manta Asfáltica Alumínio 3mm (Rolo 10m)","Manta para impermeabilização de lajes e telhados expostos, com acabamento de alumínio."
"13","Materiais Básicos","Vergalhão de Aço CA-50 8mm (Barra 12m)","Barra de aço nervurada para armaduras de concreto armado em estribos e estruturas leves."
"14","Materiais Básicos","Vergalhão de Aço CA-60 4,2mm (Rolo)","Aço nervurado de alta resistência, utilizado principalmente para fabricação de estribos."
"15","Materiais Básicos","Areia Fina Lavada (Saco 20kg)","Areia de granulometria fina, ideal para reboco fino e acabamentos."
"16","Materiais Básicos","Bloco de Concreto Vedação 14x19x39cm","Bloco de cimento para alvenaria de vedação (não estrutural)."
"17","Materiais Básicos","Cimento CP-V ARI 50kg","Cimento de Alta Resistência Inicial, indicado para produção de artefatos e desforma rápida."
"18","Materiais Básicos","Tábua de Pinus 30cm x 3m","Tábua de madeira para uso em caixarias, andaimes e construções temporárias."
"19","Materiais Básicos","Pontalete de Eucalipto 3m","Peça de madeira roliça utilizada para escoramento de lajes e vigas."
"20","Materiais Básicos","Tela Soldada Nervurada Q61 2,45x6m","Malha de aço pronta para uso em lajes, pisos industriais e calçadas de concreto."
"21","Materiais Básicos","Argamassa Colante AC-II 20kg","Para assentamento de cerâmicas em áreas externas e fachadas."
"22","Materiais Básicos","Argamassa Colante AC-III 20kg","Uso em piscinas, saunas e para assentamento de porcelanatos. Alta aderência."
"23","Materiais Básicos","Cimento Branco Estrutural 20kg","Cimento de cor branca, ideal para fins arquitetônicos e rejuntes."
"24","Materiais Básicos","Viga de Madeira Cambará 5x11cm (Metro)","Viga para madeiramento de telhados e estruturas de médio porte."
"25","Materiais Básicos","Sarrafo de Pinus 5cm (Barra 3m)","Peça de madeira utilizada em travamentos de caixarias e estruturas leves."
"26","Materiais Básicos","Coluna de Aço Pronta 7x14cm com 4 Ferros","Coluna montada pronta para uso, agilizando a construção de pilares e vigas."
"27","Materiais Básicos","Canaleta de Concreto 14x19x39cm","Bloco tipo canaleta para passagem de ferragens e conformação de vigas."
"28","Materiais Básicos","Aditivo Impermeabilizante Sika 1 (Lata 18L)","Aditivo líquido que reage com o cimento, bloqueando os poros e impedindo a umidade."
"29","Materiais Básicos","Tijolo Refratário","Tijolo resistente a altas temperaturas, para churrasqueiras e fornos."
"30","Materiais Básicos","Tela Hexagonal Galvanizada (Galinheiro)","Tela metálica para cercamentos, viveiros e uso geral na construção."
"31","Materiais Básicos","Arame Recozido N°18 (Rolo 1kg)","Arame de alta maleabilidade para amarrações de ferragens e armaduras."
"32","Materiais Básicos","Prego com Cabeça 17x21 (Pacote 1kg)","Prego de aço para fixação de madeiras em geral."
"33","Materiais Básicos","Tijolo Maciço Comum (Unidade)","Tijolo rústico para alvenaria aparente e detalhes arquitetônicos."
"34","Materiais Básicos","Manta de Subcobertura para Telhado","Manta aluminizada para isolamento térmico e proteção contra goteiras."
"35","Materiais Básicos","Argamassa Piso sobre Piso 20kg","Argamassa para assentar revestimentos novos sobre antigos sem precisar removê-los."
"36","Materiais Básicos","Placa de Drywall Standard (ST) 1,20x1,80m","Placa de gesso acartonado para construção de paredes e forros internos."
"37","Materiais Básicos","Montante para Drywall 70mm (Barra 3m)","Perfil de aço galvanizado para estruturação de paredes de drywall."
"38","Materiais Básicos","Parafuso para Drywall GN25 (100 unidades)","Parafuso auto-atarraxante para fixação das placas de gesso nos perfis metálicos."
"39","Materiais Básicos","Fita de Papel para Juntas de Drywall","Fita para tratamento de juntas entre placas de gesso, evitando trincas."
"40","Materiais Básicos","Concreto Usinado 25 MPA (Metro Cúbico)","Fornecimento de concreto pronto, dosado em central, para grandes volumes."
"41","Hidráulica","Tubo PVC Soldável 25mm (Barra 3m)","Tubo para condução de água fria em instalações prediais. Junção por adesivo."
"42","Hidráulica","Joelho PVC Soldável 90° 25mm","Conexão para mudança de direção em tubulações de água fria."
"43","Hidráulica","Torneira de Parede para Cozinha Bica Móvel","Torneira com acabamento cromado e bica móvel, ideal para pias de cozinha."
"44","Hidráulica","Chuveiro Elétrico 4 Temperaturas 5500W 220V","Ducha com espalhador grande, proporcionando conforto e economia de energia."
"45","Hidráulica","Caixa d'Água Polietileno 1000L","Reservatório de água potável com tampa de vedação segura e proteção anti-UV."
"46","Hidráulica","Ralo Sifonado Quadrado 10x10cm","Ralo com grelha de inox e sistema anti-odor para banheiros e áreas de serviço."
"47","Hidráulica","Tubo de Esgoto Série Normal 100mm (Barra 6m)","Tubo para sistemas de esgoto sanitário, com junta elástica."
"48","Hidráulica","Adesivo Plástico para Tubos PVC 175g","Cola especial para união de tubos e conexões de PVC soldável."
"49","Hidráulica","Fita Veda Rosca 18mm x 50m","Fita de teflon para vedação de juntas roscáveis em instalações de água."
"50","Hidráulica","Registro de Gaveta Bruto 3/4","Registro para bloqueio total do fluxo de água em tubulações."
"51","Hidráulica","Boia para Caixa d'Água 3/4","Válvula de boia para controle automático do nível de água no reservatório."
"52","Hidráulica","Sifão Universal Sanfonado com Copo","Sifão flexível para pias, lavatórios e tanques, com copo para fácil limpeza."
"53","Hidráulica","Tubo Aquatherm (Água Quente) 22mm (Barra 3m)","Tubo de CPVC para condução de água quente e fria, resistente a altas temperaturas."
"54","Hidráulica","Joelho Aquatherm 90° 22mm","Conexão de CPVC para mudança de direção em tubulações de água quente."
"55","Hidráulica","Torneira Boia de Alta Vazão 1","Válvula de boia para enchimento rápido de caixas d'água e cisternas."
"56","Hidráulica","Caixa de Gordura PVC 25L","Caixa para coleta de resíduos gordurosos de pias de cozinha, evitando entupimentos."
"57","Hidráulica","Válvula de Retenção Esgoto 100mm","Impede o retorno de mau cheiro e dejetos da rede de esgoto para o imóvel."
"58","Hidráulica","Torneira para Jardim 1/2 com Bico","Torneira de latão com bico para engate de mangueira. Alta durabilidade."
"59","Hidráulica","Reparo para Válvula de Descarga","Kit de reparo universal para conserto de válvulas de descarga de parede."
"60","Hidráulica","Válvula de Descarga com Duplo Acionamento","Sistema de descarga que permite acionamento de 3L ou 6L, gerando economia de água."
"61","Hidráulica","Registro de Pressão com Acabamento Cromado 3/4","Registro para controle de vazão em chuveiros."
"62","Hidráulica","Válvula de Esfera Soldável 25mm","Válvula de bloqueio rápido, 1/4 de volta, para instalações de PVC."
"63","Hidráulica","Anel de Vedação para Vaso Sanitário","Anel com guia para vedação perfeita entre o vaso e o tubo de esgoto, evitando vazamentos."
"64","Hidráulica","Engate Flexível de Aço Inox 40cm","Mangueira flexível para ligação de torneiras e caixas acopladas aos pontos de água."
"65","Hidráulica","Luva de Correr PVC Soldável 25mm","Conexão para reparos em tubulações, permitindo a união sem mover os tubos."
"66","Hidráulica","Tê de Redução Soldável 25x20mm","Conexão para derivar uma tubulação com diâmetro menor."
"67","Hidráulica","CAP PVC Soldável 25mm","Tampão para fechamento de extremidades de tubos de PVC."
"68","Hidráulica","Caixa Sifonada 150x150x50mm com 3 Entradas","Caixa para coleta de água de ralos de banheiro e lavanderia, com sifão interno."
"69","Hidráulica","Torneira de Tanque e Máquina de Lavar","Torneira com duas saídas independentes, uma para o tanque e outra para a máquina."
"70","Hidráulica","Limpa Fossa Biológico (Dose Única)","Produto para tratamento de fossas sépticas, que dissolve a matéria orgânica."
"71","Hidráulica","Solução Limpadora para PVC (Primer)","Líquido para preparação das superfícies de PVC antes da aplicação do adesivo."
"72","Hidráulica","Tubo de Cobre para Gás (Metro)","Tubo rígido para instalações de gás GLP e Natural, conforme normas técnicas."
"73","Hidráulica","Torneira para Lavatório de Mesa Bica Alta","Torneira com design elegante para cubas de apoio em banheiros e lavabos."
"74","Hidráulica","Bucha de Redução Soldável Curta 25x20mm","Conexão para redução de diâmetro em pontos específicos da tubulação."
"75","Hidráulica","Grelha Abre e Fecha para Ralo 10x10cm","Grelha com sistema que permite fechar a passagem, evitando a entrada de insetos."
"76","Hidráulica","Prolongador para Registro de Chuveiro","Peça para aumentar o comprimento do registro quando este fica fundo na parede."
"77","Hidráulica","Adaptador para Mangueira de Jardim","Conector rápido para engate da mangueira em torneiras."
"78","Hidráulica","Acabamento Cromado para Registro Padrão Deca","Acabamento universal para registros de pressão e gaveta."
"79","Hidráulica","Resistência para Chuveiro Elétrico 5500W 220V","Peça de reposição para chuveiros de diversas marcas."
"80","Hidráulica","Bomba d'Água Periférica 1/2 CV","Bomba para transferência de água limpa de cisternas para caixas d'água."
"81","Elétrica","Fio Flexível Antichama 2,5mm² (Rolo 100m)","Cabo flexível para circuitos de tomadas de uso geral, iluminação e chuveiros."
"82","Elétrica","Disjuntor Monopolar DIN 20A","Dispositivo de proteção contra sobrecargas e curtos-circuitos em instalações elétricas."
"83","Elétrica","Tomada 2P+T 10A Branca","Módulo de tomada padrão brasileiro, para uso em caixas 4x2."
"84","Elétrica","Interruptor Simples 1 Tecla Branco","Módulo de interruptor para acionamento de pontos de luz."
"85","Elétrica","Lâmpada LED Bulbo 9W Branca Fria","Lâmpada de baixo consumo e alta durabilidade, equivalente a uma incandescente de 60W."
"86","Elétrica","Eletroduto Corrugado Amarelo 3/4 (Rolo 50m)","Conduíte flexível para proteção de fiação elétrica embutida em paredes."
"87","Elétrica","Quadro de Distribuição para 12 Disjuntores","Caixa para abrigar disjuntores e organizar a distribuição de circuitos elétricos."
"88","Elétrica","Fita Isolante Antichama 20m","Fita adesiva para isolamento de fios e cabos elétricos de até 750V."
"89","Elétrica","Caixa de Passagem Elétrica 4x2 Amarela","Caixa de PVC para instalação de tomadas e interruptores em alvenaria."
"90","Elétrica","Conector de Porcelana 10mm²","Conector para emendas de cabos em locais de alta temperatura, como chuveiros."
"91","Elétrica","Placa 4x2 para 1 Módulo Branca","Espelho de acabamento para caixas de luz, com suporte para 1 módulo (tomada/interruptor)."
"92","Elétrica","Cabo Flexível Antichama 6,0mm² (Rolo 100m)","Cabo flexível para circuitos de chuveiros elétricos e equipamentos de maior potência."
"93","Elétrica","Disjuntor Bipolar DIN 40A","Disjuntor para proteção de circuitos bifásicos 220V."
"94","Elétrica","Haste de Aterramento Cobre 5/8 x 2,40m","Haste para sistema de aterramento elétrico, garantindo segurança contra choques."
"95","Elétrica","Eletrocalha Perfurada 100x50mm (Barra 3m)","Bandeja metálica para distribuição de grande volume de cabos em instalações aparentes."
"96","Elétrica","Sensor de Presença para Iluminação","Dispositivo que acende a luz automaticamente ao detectar movimento no ambiente."
"97","Elétrica","Fotocélula para Iluminação Externa","Relé que liga e desliga a iluminação automaticamente conforme a luz do dia."
"98","Elétrica","Lâmpada LED Tubular T8 18W 120cm","Lâmpada para substituição de fluorescentes tubulares, ideal para garagens e cozinhas."
"99","Elétrica","Campainha Sem Fio Bivolt Alcance 50m","Campainha de fácil instalação, sem necessidade de quebrar paredes."
"100","Elétrica","Chave Bóia para Nível de Água","Dispositivo para automação do acionamento de bombas de água."
"101","Elétrica","Interruptor Paralelo (Three-Way) Branco","Módulo que permite ligar/desligar uma lâmpada de dois pontos diferentes."
"102","Elétrica","Conector de Emenda Rápida (Tipo Wago) 3 Vias","Conector para emendas de fios e cabos de forma rápida e segura, sem fita isolante."
"103","Elétrica","Refletor de LED Holofote 50W Branco Frio","Refletor potente para iluminação de fachadas, jardins e áreas externas."
"104","Elétrica","Disjuntor DR (Diferencial Residual) 40A","Protege contra fugas de corrente (choques elétricos), sendo item de segurança obrigatório."
"105","Elétrica","Canaleta de PVC Aparente com Adesivo 20x10mm","Canaleta para passagem de fiação sobre a parede, com acabamento discreto."
"106","Elétrica","Fio Rígido 10mm² (Metro)","Fio sólido para quadros de energia e entrada de força."
"107","Elétrica","Barramento de Cobre tipo Pente (12 Polos)","Pente de conexão para organizar e interligar disjuntores DIN no quadro de luz."
"108","Elétrica","Spot de LED Embutir Redondo 5W Branco Quente","Luminária para forros de gesso, com luz amarelada e aconchegante."
"109","Elétrica","Tomada USB Dupla para Embutir Branca","Módulo com duas saídas USB para carregamento de dispositivos, instalado na caixa 4x2."
"110","Elétrica","Dimmer Rotativo para Lâmpada (Variador de Luz)","Interruptor que permite controlar a intensidade da luz no ambiente."
"111","Elétrica","Cabo Coaxial RG6 para Antena (Metro)","Cabo para instalações de antenas de TV digital, a cabo e satélite."
"112","Elétrica","Tomada para Telefone Padrão Telebras","Conector para ponto de linha telefônica fixa."
"113","Elétrica","Plafon de LED Sobrepor Quadrado 18W","Luminária de teto de fácil instalação, para iluminação geral de ambientes."
"114","Elétrica","Prensa-Cabo de Plástico 1/2","Peça para fixação e vedação da entrada de cabos em quadros e caixas."
"115","Elétrica","Conector Terminal Olhal 6mm²","Terminal para conexão segura de cabos em disjuntores e barramentos."
"116","Elétrica","Interruptor com Tomada Conjugado 10A","Módulo que combina um interruptor simples e uma tomada em um único conjunto."
"117","Elétrica","Extensão Elétrica com 3 Tomadas 5m","Cabo de força para ligar aparelhos distantes da tomada."
"118","Elétrica","Abraçadeira de Nylon (Enforca Gato) Pacote 100un","Abraçadeiras para organização e amarração de chicotes de cabos."
"119","Elétrica","Protetor de Surto Elétrico (Clamper)","Dispositivo que protege equipamentos eletrônicos contra picos de tensão e raios."
"120","Elétrica","Multímetro Digital Portátil","Aparelho para medições de tensão, corrente e resistência elétrica."
"121","Ferramentas","Martelo de Unha 27mm Cabo de Madeira","Ferramenta essencial para golpear e remover pregos, com cabo anatômico."
"122","Ferramentas","Jogo de Chaves de Fenda e Phillips (6 Peças)","Kit com chaves de ponta chata e cruzada em diversos tamanhos, com ponta imantada."
"123","Ferramentas","Alicate Universal 8 Aço Cromo Vanádio","Alicate multifuncional para cortar, apertar e dobrar. Possui cabo isolado 1000V."
"124","Ferramentas","Serra Circular 7 1/4 1400W","Ferramenta elétrica para cortes precisos e rápidos em madeira."
"125","Ferramentas","Furadeira de Impacto 1/2 650W","Furadeira para perfuração em alvenaria, concreto, metal e madeira."
"126","Ferramentas","Chave de Grifo para Encanador 12","Chave ajustável para instalação e manutenção de tubulações hidráulicas."
"127","Ferramentas","Trena de Aço 5m com Trava","Fita métrica de 5 metros para medições precisas, com corpo emborrachado."
"128","Ferramentas","Nível de Alumínio 40cm com 3 Bolhas","Ferramenta para verificação de alinhamento horizontal, vertical e 45°."
"129","Ferramentas","Carrinho de Mão 60L com Pneu e Câmara","Carrinho de mão reforçado para transporte de terra, areia, cimento e entulho."
"130","Ferramentas","Pá Quadrada com Cabo de Madeira 75cm","Pá para movimentação de materiais a granel, como areia e brita."
"131","Ferramentas","Esmerilhadeira Angular 4 1/2 820W","Ferramenta para desbaste e corte de metais, pedras e concreto."
"132","Ferramentas","Desempenadeira de Aço Lisa","Ferramenta para aplicação e nivelamento de argamassas e reboco."
"133","Ferramentas","Arco de Serra Regulável 12","Ferramenta para corte manual de metais, PVC e outros materiais."
"134","Ferramentas","Brocha Retangular para Pintura (Caiçara)","Brocha para aplicação de cal e tintas rústicas em muros e paredes."
"135","Ferramentas","Colher de Pedreiro Canto Reto 8","Ferramenta para assentamento de tijolos e aplicação de argamassa."
"136","Ferramentas","Equipamento de Proteção Individual (EPI) - Luva","Luva de raspa para proteção das mãos durante o manuseio de materiais abrasivos."
"137","Ferramentas","Equipamento de Proteção Individual (EPI) - Óculos","Óculos de segurança incolor para proteção dos olhos contra partículas e poeira."
"138","Ferramentas","Escada de Alumínio Multifuncional 4x3","Escada articulada com 12 degraus que pode ser usada em diversas posições."
"139","Ferramentas","Chave de Fenda Teste de Voltagem","Chave para identificar a presença de corrente elétrica em tomadas e fios."
"140","Ferramentas","Torquês de Armador 12","Ferramenta para cortar e amarrar vergalhões de aço na montagem de armaduras."
"141","Ferramentas","Jogo de Brocas para Concreto (5 Peças)","Kit com brocas de vídea de diferentes diâmetros para furação em alvenaria."
"142","Ferramentas","Disco de Corte para Metal 7","Disco abrasivo para esmerilhadeira, utilizado para cortar barras e chapas de metal."
"143","Ferramentas","Paquímetro Universal de Aço 150mm","Instrumento de precisão para medições internas, externas e de profundidade."
"144","Ferramentas","Esquadro de Alumínio com Cabo 12","Ferramenta para verificação e traçagem de ângulos de 90°."
"145","Ferramentas","Espátula de Aço Inox 8cm","Ferramenta para aplicação de massa corrida e remoção de resíduos."
"146","Ferramentas","Equipamento de Proteção Individual (EPI) - Capacete","Capacete de segurança para proteção contra impactos na cabeça."
"147","Ferramentas","Equipamento de Proteção Individual (EPI) - Máscara PFF2","Máscara para proteção respiratória contra poeiras, névoas e fumos."
"148","Ferramentas","Rodo Dentado para Epóxi","Rodo para espalhar resina epóxi e outros autonivelantes de forma uniforme."
"149","Ferramentas","Soprador Térmico 1800W","Ferramenta que gera ar quente para aplicações como remoção de tintas e colagem."
"150","Ferramentas","Talhadeira de Aço com Empunhadura","Ferramenta para quebrar concreto e alvenaria manualmente, com proteção para a mão."
"151","Ferramentas","Jogo de Chaves Allen (Hexagonal)","Kit com chaves tipo L para parafusos com sextavado interno."
"152","Ferramentas","Nível a Laser com Alcance de 15m","Projeta linhas horizontais e verticais para instalação de pisos, azulejos e móveis."
"153","Ferramentas","Rebitador Manual tipo Alicate","Ferramenta para fixação com rebites de repuxo em chapas e perfis."
"154","Ferramentas","Lixadeira Orbital Elétrica 200W","Ferramenta para lixamento e acabamento fino de superfícies de madeira e massa."
"155","Ferramentas","Pistola Aplicadora de Silicone","Ferramenta para aplicação controlada de selantes em tubos (cartuchos)."
"156","Ferramentas","Betoneira 400 Litros Monofásica","Equipamento para mistura de concreto e argamassa em grande volume na obra."
"157","Ferramentas","Andaime Tubular 1,5x1,5m (Peça)","Elemento modular para montagem de torres de trabalho em altura."
"158","Ferramentas","Plaina Elétrica Manual","Ferramenta para desbaste e nivelamento de superfícies de madeira."
"159","Ferramentes","Jogo de Soquetes e Catraca 1/2 (40 Peças)","Kit completo para apertar e soltar porcas e parafusos de diversos tamanhos."
"160","Ferramentas","Bancada de Trabalho Portátil Dobrável","Mesa de trabalho que facilita o corte e a montagem de peças na obra."
"161","Acabamento","Tinta Látex PVA Branca Neve 18L","Tinta à base de água para pintura de paredes internas, com acabamento fosco."
"162","Acabamento","Porcelanato Polido Retificado 60x60cm","Revestimento de alta durabilidade e brilho intenso, ideal para salas e quartos."
"163","Acabamento","Piso Vinílico Clicado Amadeirado (m²)","Piso de PVC com sistema de encaixe fácil, resistente à água e com conforto térmico."
"164","Acabamento","Rejunte Flexível Branco 5kg","Rejunte cimentício para preenchimento de juntas de 2 a 10mm em pisos e paredes."
"165","Acabamento","Silicone Acético Incolor 280g","Selante para vedação em pias, boxes de banheiro e esquadrias. Contém anti-fungo."
"166","Acabamento","Fechadura para Porta Externa Cromada","Fechadura de segurança com cilindro e acabamento cromado para portas de entrada."
"167","Acabamento","Puxador de Inox para Porta de Madeira 40cm","Puxador tubular de aço inox para portas pivotantes e de correr."
"168","Acabamento","Folha de Lixa d'Água Grão 1200","Lixa fina para polimento e acabamento em superfícies metálicas e automotivas."
"169","Acabamento","Rolo de Lã para Pintura Antigotas 23cm","Rolo para aplicação de tintas látex e acrílica, com excelente cobertura."
"170","Acabamento","Massa Corrida PVA 25kg","Massa para nivelamento e correção de imperfeições em paredes internas."
"171","Acabamento","Tinta Acrílica Fosca Branco Gelo 18L","Tinta lavável de alta resistência para áreas externas e internas."
"172","Acabamento","Vaso Sanitário com Caixa Acoplada","Bacia sanitária com caixa de duplo acionamento (3/6L), inclui assento e fixadores."
"173","Acabamento","Cuba de Apoio Redonda para Banheiro","Louça sanitária de design moderno para instalação sobre bancadas."
"174","Acabamento","Grelha de Inox para Ralo 15x15cm","Grelha quadrada para ralos de piso, com acabamento polido."
"175","Acabamento","Verniz Marítimo Brilhante 3,6L","Verniz para proteção e embelezamento de madeiras expostas ao sol e à chuva."
"176","Acabamento","Rodapé de Poliestireno Branco 7cm (Barra 2,4m)","Rodapé à prova d'água e cupim, de fácil instalação e acabamento."
"177","Acabamento","Kit de Acessórios para Banheiro 5 Peças Cromado","Conjunto com saboneteira, papeleira, toalheiro de rosto, toalheiro de barra e cabide."
"178","Acabamento","Textura Acrílica Rústica (Grafiato) 25kg","Revestimento para criação de efeitos ranhurados em paredes externas e internas."
"179","Acabamento","Seladora Acrílica para Parede 18L","Fundo preparador que sela a parede e melhora o rendimento da tinta."
"180","Acabamento","Porta Sanfonada de PVC Branca 80cm","Porta prática para divisão de ambientes, ideal para otimizar espaços."
"181","Acabamento","Esmalte Sintético Brilhante Branco 3,6L","Tinta à base de solvente para pintura de metais e madeiras, com alta durabilidade."
"182","Acabamento","Tinta Epóxi para Piso 3,6L","Tinta de alta resistência para pisos de garagem, quadras e áreas de grande circulação."
"183","Acabamento","Trincha (Pincel) de Cerdas Macias 2","Pincel para recortes e detalhes de pintura com esmalte e verniz."
"184","Acabamento","Bandeja para Pintura Grande","Recipiente para colocar a tinta e umedecer o rolo de maneira uniforme."
"185","Acabamento","Fita Crepe para Pintura 48mm x 50m","Fita adesiva para proteger áreas que não serão pintadas, com remoção limpa."
"186","Acabamento","Lona Plástica Preta para Proteção 4x5m","Lona para cobrir pisos e móveis durante a pintura ou reforma."
"187","Acabamento","Piso Laminado de Madeira (m²)","Revestimento com aparência de madeira, de instalação rápida e flutuante."
"188","Acabamento","Cantoneira de Alumínio para Azulejo","Perfil para dar acabamento e proteger os cantos de paredes revestidas com cerâmica."
"189","Acabamento","Espuma Expansiva de Poliuretano 500ml","Selante adesivo que expande para preencher vãos, frestas e buracos."
"190","Acabamento","Painel de LED Ripado (Decoração)","Painel decorativo com efeito de madeira ripada para paredes e tetos."
"191","Acabamento","Moldura de Gesso (Roseta) para Teto","Ornamento decorativo para o centro do teto, ao redor de lustres."
"192","Acabamento","Cola de Contato (Sapateiro) 750g","Adesivo forte para colagem de laminados, borrachas, couro e outros materiais."
"193","Acabamento","Limpador Pós-Obra 1L","Removedor de resíduos de cimento, rejunte e gesso de pisos e revestimentos."
"194","Acabamento","Cera Líquida Autobrilho para Piso","Cera para proteção e brilho em pisos de madeira, vinílico e cerâmica."
"195","Acabamento","Dobradiça de Aço para Porta (3 unidades)","Conjunto de dobradiças com rolamento para sustentação de portas."
"196","Acabamento","Kit Pia de Cozinha em Inox 1,20m com Cuba","Tampo de inox com cuba central, ideal para cozinhas residenciais."
"197","Acabamento","Pastilha de Vidro Adesiva (Placa 30x30cm)","Placa adesiva para decoração rápida de paredes em cozinhas e banheiros."
"198","Acabamento","Tinta Spray Metálica Cromo 400ml","Tinta em aerossol para acabamento metálico em objetos de decoração e artesanato."
"199","Acabamento","Papel de Parede Vinílico Lavável (Rolo 10m)","Revestimento decorativo para paredes internas, com diversas estampas e texturas."
"200","Acabamento","Soleira de Granito 82x14cm","Peça de pedra polida para acabamento de portas, vãos e degraus."